symbol,side,entry,exit,pnl,reason,time
ETH/USDT,SHORT,2618.245,2618.245,-0.5142169762633534,BE_STOP,2024-08-17 15:00:00
NEAR/USDT,SHORT,4.021,4.021,-0.4119146179950739,BE_STOP,2024-08-17 17:00:00
LTC/USDT,LONG,66.625,67.28766992138935,33.06470741374411,TP1_80%,2024-08-17 17:00:00
DOT/USDT,SHORT,4.44,4.392187848384692,1.7078226672701398,BE_STOP,2024-08-18 02:45:00
LTC/USDT,LONG,66.625,66.625,-2.2914387820283117,BE_STOP,2024-08-18 15:00:00
SOL/USDT,SHORT,143.312,144.22821156423223,-46.04379897942688,STOP_LOSS,2024-08-21 20:00:00
BNB/USDT,LONG,576.6949999999999,583.1116885679522,6.745772414979987,TP1_80%,2024-08-23 14:00:00
BNB/USDT,LONG,576.6949999999999,576.6949999999999,-0.3700152782691484,BE_STOP,2024-08-23 14:45:00
ADA/USDT,LONG,0.3749,0.37864171023044835,8.24420489427786,TP1_80%,2024-08-23 15:00:00
ADA/USDT,LONG,0.3749,0.38581332150547426,1.750658085246178,TP2_5%,2024-08-23 16:00:00
XRP/USDT,LONG,0.5971500000000001,0.6076061807064153,29.363849394995263,TP1_80%,2024-08-24 02:15:00
INJ/USDT,LONG,21.6525,22.02223726794932,29.665217717675105,TP1_80%,2024-08-24 09:30:00
XRP/USDT,LONG,0.5971500000000001,0.6276471937270444,5.7950317447366935,TP2_5%,2024-08-24 13:15:00
ADA/USDT,LONG,0.3749,0.3967266430109485,10.83364120637444,TP3_FULL,2024-08-24 16:15:00
INJ/USDT,LONG,21.6525,22.73090036485218,5.8673764390102745,TP2_5%,2024-08-24 16:30:00
INJ/USDT,LONG,21.6525,22.02223726794932,5.488355283974225,BE_STOP,2024-08-24 21:00:00
XRP/USDT,LONG,0.5971500000000001,0.6076061807064153,5.434646399258642,BE_STOP,2024-08-24 21:30:00
TIA/USDT,LONG,5.988300000000001,5.892192066454658,-50.51042274347425,STOP_LOSS,2024-08-25 00:45:00
BCH/USDT,LONG,352.625,361.3821416774215,38.501206750054685,TP1_80%,2024-08-25 20:45:00
BCH/USDT,LONG,352.625,352.625,-0.9791625417484223,BE_STOP,2024-08-26 01:45:00
XRP/USDT,LONG,0.5971500000000001,0.5878343633212713,-40.628026835111406,STOP_LOSS,2024-08-26 12:30:00
LINK/USDT,LONG,12.202,12.08140316223077,-42.27809066668293,STOP_LOSS,2024-08-26 15:15:00
DOGE/USDT,LONG,0.10807,0.10479867158418502,-38.1168626939033,STOP_LOSS,2024-08-26 18:00:00
XRP/USDT,SHORT,0.5801000000000001,0.5720385504288013,6.974344883256707,TP1_80%,2024-08-28 20:15:00
DOT/USDT,SHORT,4.355,4.261529547449798,9.264381055759978,TP1_80%,2024-08-28 20:45:00
ADA/USDT,SHORT,0.3567,0.3499296443284577,9.140015156875695,TP1_80%,2024-08-28 22:30:00
ADA/USDT,SHORT,0.3567,0.3567,-0.28227327235901994,BE_STOP,2024-08-29 06:15:00
ADA/USDT,SHORT,0.3567,0.3610458480802873,-9.993279865039097,STOP_LOSS,2024-08-29 09:00:00
DOT/USDT,SHORT,4.355,4.355,-0.2615142345639009,BE_STOP,2024-08-29 14:00:00
SOL/USDT,SHORT,147.68400000000003,146.01841610194074,8.436707859535245,TP1_80%,2024-08-29 16:45:00
SOL/USDT,SHORT,147.68400000000003,142.8260469639938,1.75553531183379,TP2_5%,2024-08-29 19:00:00
SOL/USDT,SHORT,147.68400000000003,137.96809392798758,10.873793431777365,TP3_FULL,2024-08-29 22:00:00
XRP/USDT,SHORT,0.5801000000000001,0.5565874387506701,1.3933566587064774,TP2_5%,2024-08-30 15:00:00
AVAX/USDT,SHORT,23.3255,23.024994532321134,42.02013118193919,TP1_80%,2024-08-31 07:30:00
TIA/USDT,SHORT,4.5087,4.463067483687083,27.128651468254553,TP1_80%,2024-09-01 01:30:00
